,full_name,company,selling_price,year,km_driven,owner_type,fuel_type,transmission_type
16379,Maruti Swift VDI,Maruti,610000,2016,54000,First Owner,Diesel,Manual
16380,Honda BRV i-DTEC,Honda,1189000,2016,41482,First Owner,Diesel,Manual
16381,Skoda Rapid 1.5,Skoda,465000,2014,65598,First Owner,Diesel,Manual
16382,Maruti Alto LXi,Maruti,125000,2009,80000,First Owner,Petrol,Manual
16383,Volkswagen Passat Diesel,Volkswagen,800000,2011,103362,First Owner,Diesel,Automatic
16384,Maruti Wagon R,Maruti,265000,2013,55000,First Owner,CNG,Manual
16387,Maruti Ertiga SHVS,Maruti,810000,2016,40000,First Owner,Diesel,Manual
16388,Toyota Fortuner 4x2,Toyota,1550000,2014,151768,First Owner,Diesel,Automatic
16390,Maruti Zen LXI,Maruti,190000,2006,44116,First Owner,Petrol,Manual
16391,Honda Amaze S,Honda,420000,2013,80000,First Owner,Diesel,Manual
16392,BMW 5 Series,BMW,1575000,2013,69000,First Owner,Diesel,Automatic
16393,Honda City i,Honda,730000,2015,110000,First Owner,Diesel,Manual
16395,Honda CR-V 2.4,Honda,600000,2007,152358,First Owner,Petrol,Automatic
16397,Honda City i,Honda,575000,2014,80633,First Owner,Diesel,Manual
16398,Toyota Innova Crysta,Toyota,1150000,2017,74030,First Owner,Diesel,Manual
16399,Mahindra Thar CRDe,Mahindra,975000,2019,5000,First Owner,Diesel,Manual
16400,Mahindra Verito 1.5,Mahindra,229999,2012,110000,First Owner,Diesel,Manual
16401,Maruti Wagon R,Maruti,400000,2015,25000,First Owner,Petrol,Manual
16402,Maruti Swift Dzire,Maruti,475000,2013,80000,First Owner,Diesel,Manual
16403,Toyota Corolla Altis,Toyota,490000,2012,50000,First Owner,Petrol,Manual
16404,Hyundai i10 Sportz,Hyundai,400000,2011,74703,First Owner,Petrol,Automatic
16405,Maruti Celerio VXI,Maruti,409999,2015,10000,First Owner,Petrol,Automatic
16406,Hyundai i20 Asta,Hyundai,750000,2018,10000,First Owner,Petrol,Automatic
16407,Maruti Wagon R,Maruti,160000,2010,150821,First Owner,Petrol,Manual
16408,Toyota Innova 2.5,Toyota,1125000,2012,198000,First Owner,Diesel,Manual
16409,Hyundai i20 2015-2017,Hyundai,725000,2017,18000,First Owner,Petrol,Manual
16410,Ford Ecosport 1.5,Ford,571000,2014,71425,First Owner,Diesel,Manual
16412,Ford Figo Petrol,Ford,295000,2012,48000,First Owner,Petrol,Manual
16415,Tata Indigo CR4,Tata,240000,2013,190000,First Owner,Diesel,Manual
16416,BMW 5 Series,BMW,2600000,2016,75000,First Owner,Diesel,Automatic
16417,Honda City 1.5,Honda,350000,2011,130000,First Owner,Petrol,Manual
16419,Hyundai i20 Asta,Hyundai,615000,2016,20000,First Owner,Petrol,Manual
16420,Hyundai Creta 1.6,Hyundai,950000,2015,13000,First Owner,Petrol,Manual
16421,Ford Ecosport 2015-2021,Ford,999000,2018,20000,First Owner,Diesel,Manual
16422,Skoda Octavia Ambition,Skoda,1050000,2016,30000,First Owner,Petrol,Automatic
16423,Maruti Swift Dzire,Maruti,490000,2015,19238,First Owner,Petrol,Manual
16424,Chevrolet Cruze LTZ,Chevrolet,525000,2012,17000,First Owner,Diesel,Automatic
16425,Maruti Swift AMT,Maruti,775000,2018,38815,First Owner,Diesel,Automatic
16427,Maruti A Star,Maruti,365000,2013,42000,First Owner,Petrol,Automatic
16428,Toyota Corolla Altis,Toyota,550000,2012,110000,First Owner,Diesel,Manual
16429,Skoda Superb Elegance,Skoda,465000,2011,71000,First Owner,Petrol,Automatic
16430,Toyota Fortuner 2016-2021,Toyota,2500000,2017,66000,First Owner,Diesel,Manual
16431,Maruti Alto 800,Maruti,185000,2014,56641,First Owner,Petrol,Manual
16432,Maruti Swift Dzire,Maruti,465000,2014,90000,First Owner,Diesel,Manual
16433,Maruti Wagon R,Maruti,210000,2012,70000,First Owner,Petrol,Manual
16434,Maruti Swift Dzire,Maruti,650000,2017,30000,First Owner,Diesel,Manual
16436,Maruti Swift Dzire,Maruti,475000,2015,50000,First Owner,Diesel,Manual
16437,Maruti Ertiga VXI,Maruti,645000,2014,36000,First Owner,Petrol,Manual
16438,BMW 6 Series,BMW,5600000,2018,11000,First Owner,Diesel,Automatic
16439,Renault KWID RXL,Renault,250000,2014,40000,First Owner,Petrol,Manual
16440,Mahindra TUV 300,Mahindra,672000,2018,50000,First Owner,Diesel,Manual
16441,Honda City i,Honda,750000,2017,120000,First Owner,Diesel,Manual
16443,Mahindra Scorpio Intelli,Mahindra,900000,2017,70000,First Owner,Diesel,Manual
16444,Tata Indigo LS,Tata,120000,2009,123652,First Owner,Diesel,Manual
16445,Mahindra XUV500 AT,Mahindra,1100000,2016,40000,First Owner,Diesel,Automatic
16446,BMW 3 Series,BMW,1100000,2012,91000,First Owner,Diesel,Automatic
16447,Chevrolet Beat Diesel,Chevrolet,275000,2012,61504,First Owner,Diesel,Manual
16448,Hyundai Xcent 1.2,Hyundai,611000,2017,17000,First Owner,Petrol,Automatic
16449,Hyundai i20 1.2,Hyundai,600000,2017,20000,First Owner,Petrol,Manual
16450,Maruti Wagon R,Maruti,325000,2015,33860,First Owner,Petrol,Manual
16451,Maruti Wagon R,Maruti,415000,2018,47000,First Owner,Petrol,Automatic
16452,Renault Duster 110PS,Renault,484999,2014,150000,First Owner,Diesel,Manual
16453,Maruti Ertiga VXI,Maruti,760000,2018,50000,First Owner,Petrol,Manual
16454,Maruti Swift Dzire,Maruti,400000,2018,60000,First Owner,Petrol,Manual
16455,Hyundai Grand i10,Hyundai,530000,2016,51000,First Owner,Petrol,Manual
16456,Mercedes-Benz E-Class E250,Mercedes-Benz,1998999,2014,80000,First Owner,Diesel,Automatic
16457,Hyundai i20 1.2,Hyundai,475000,2014,40000,First Owner,Petrol,Manual
16458,Volkswagen Polo Diesel,Volkswagen,260000,2012,60000,First Owner,Diesel,Manual
16459,Honda City 1.5,Honda,430000,2010,34178,First Owner,Petrol,Manual
16460,Hyundai Santro Xing,Hyundai,265000,2010,25000,First Owner,Petrol,Manual
16461,Tata Vista Quadrajet,Tata,260000,2015,160000,First Owner,Diesel,Manual
16462,Maruti Swift VXI,Maruti,165000,2008,93000,First Owner,Petrol,Manual
16464,Maruti Swift Dzire,Maruti,875000,2017,27000,First Owner,Diesel,Manual
16465,Mercedes-Benz S-Class S,Mercedes-Benz,1700000,2011,49000,First Owner,Diesel,Automatic
16466,Hyundai i20 Sportz,Hyundai,525000,2015,35000,First Owner,Petrol,Manual
16467,Maruti Swift Dzire,Maruti,500000,2013,72647,First Owner,Petrol,Manual
16468,Hyundai EON Era,Hyundai,170000,2013,90000,First Owner,Petrol,Manual
16469,Renault KWID RXT,Renault,375000,2016,30000,First Owner,Petrol,Manual
16470,Tata Indigo CR4,Tata,210000,2012,156000,First Owner,Diesel,Manual
16471,Honda Civic 1.8,Honda,413999,2008,66000,First Owner,Petrol,Manual
16472,Maruti SX4 S,Maruti,750000,2016,69500,First Owner,Diesel,Manual
16473,Maruti Ritz VXI,Maruti,275000,2012,73000,First Owner,Petrol,Manual
16474,Hyundai i10 Magna,Hyundai,400000,2015,5000,First Owner,Petrol,Manual
16475,Ford Ecosport 2015-2021,Ford,850000,2016,37000,First Owner,Diesel,Manual
16477,Maruti Swift VXI,Maruti,530000,2017,47050,First Owner,Petrol,Manual
16480,Mahindra Supro VX,Mahindra,515000,2019,28000,First Owner,Diesel,Manual
16481,Ford Fiesta 1.6,Ford,200000,2009,103498,First Owner,Petrol,Manual
16482,Chevrolet Sail 1.2,Chevrolet,290000,2014,21000,First Owner,Petrol,Manual
16483,Maruti Zen Estilo,Maruti,200000,2008,70000,First Owner,Petrol,Manual
16484,Maruti Celerio VXI,Maruti,440000,2014,50000,First Owner,Petrol,Automatic
16485,Ford Figo Diesel,Ford,375000,2013,45000,First Owner,Diesel,Manual
16486,Toyota Fortuner 3.0,Toyota,1450000,2013,127000,First Owner,Diesel,Manual
16487,Maruti Ritz VDi,Maruti,350000,2013,120000,First Owner,Diesel,Manual
16488,Maruti Wagon R,Maruti,380000,2016,53000,First Owner,CNG,Manual
16489,Mercedes-Benz C-Class C,Mercedes-Benz,894999,2008,57000,First Owner,Petrol,Automatic
16490,Hyundai Santro Xing,Hyundai,310000,2011,65000,First Owner,Petrol,Manual
16491,BMW X5 xDrive,BMW,5000000,2016,15000,First Owner,Diesel,Automatic
16492,Hyundai Santro Xing,Hyundai,240000,2013,64000,First Owner,Petrol,Manual
16493,Maruti S-Presso VXI,Maruti,500000,2020,1200,First Owner,Petrol,Manual
16494,Toyota Innova 2.5,Toyota,525000,2009,214000,First Owner,Diesel,Manual
16495,Honda Amaze S,Honda,425000,2014,35000,First Owner,Petrol,Automatic
16496,Volkswagen Vento 1.2,Volkswagen,545000,2015,38000,First Owner,Petrol,Automatic
16497,Skoda Yeti Ambition,Skoda,575000,2011,64000,First Owner,Diesel,Manual
16498,Honda Civic 1.8,Honda,465000,2009,101689,First Owner,Petrol,Manual
16499,Ford Fiesta 1.6,Ford,175000,2009,77000,First Owner,Petrol,Manual
16500,Toyota Innova 2.5,Toyota,955000,2011,132734,First Owner,Diesel,Manual
16501,Maruti Swift Dzire,Maruti,615000,2016,28117,First Owner,Petrol,Manual
16502,Maruti Swift Dzire,Maruti,359000,2013,56000,First Owner,Diesel,Manual
16503,Maruti Baleno Delta,Maruti,600000,2018,70000,First Owner,Diesel,Manual
16504,Datsun GO Plus,Datsun,200000,2016,120000,First Owner,Petrol,Manual
16505,Maruti Baleno Delta,Maruti,525000,2019,40000,First Owner,Petrol,Manual
16506,Skoda Laura 1.9,Skoda,380000,2010,65000,First Owner,Diesel,Manual
16507,Maruti Swift ZXI,Maruti,450000,2014,50000,First Owner,Petrol,Manual
16508,Toyota Innova 2.5,Toyota,850000,2015,65000,First Owner,Diesel,Manual
16509,Maruti Alto K10,Maruti,145000,2011,50000,First Owner,Petrol,Manual
16511,Honda City 1.5,Honda,590000,2013,57000,First Owner,Petrol,Manual
16512,Maruti Wagon R,Maruti,275000,2013,140000,First Owner,CNG,Manual
16513,Maruti Alto K10,Maruti,280000,2016,60000,First Owner,Petrol,Manual
16514,Hyundai Verna 1.6,Hyundai,565000,2014,30666,First Owner,Diesel,Manual
16515,BMW 3 Series,BMW,1800000,2013,50000,First Owner,Petrol,Automatic
16516,Skoda Superb 1.8,Skoda,395000,2012,80000,First Owner,Petrol,Manual
16517,Skoda Rapid 1.6,Skoda,625000,2016,39000,First Owner,Petrol,Automatic
16518,Hyundai Verna 1.6,Hyundai,580000,2012,44906,First Owner,Petrol,Manual
16519,Maruti Swift Dzire,Maruti,374000,2013,45000,First Owner,Diesel,Manual
16520,Mahindra Bolero 2011-2019,Mahindra,665000,2016,60240,First Owner,Diesel,Manual
16521,Maruti Swift Dzire,Maruti,250000,2011,90000,First Owner,Diesel,Manual
16522,Fiat Grande Punto,Fiat,240000,2011,120000,First Owner,Petrol,Manual
16523,Hyundai i10 Era,Hyundai,150000,2008,124000,First Owner,Petrol,Manual
16524,BMW X3 xDrive20d,BMW,2150000,2013,65000,First Owner,Diesel,Automatic
16526,Toyota Etios Liva,Toyota,575000,2015,85000,First Owner,Diesel,Manual
16527,Maruti Vitara Brezza,Maruti,975000,2018,35000,First Owner,Diesel,Automatic
16529,BMW X4 M,BMW,5500000,2019,10000,First Owner,Diesel,Automatic
16530,Honda City i,Honda,550000,2015,75000,First Owner,Diesel,Manual
16533,Tata Indigo LS,Tata,285000,2014,80000,First Owner,Diesel,Manual
16534,Renault Scala Diesel,Renault,550000,2016,65000,First Owner,Diesel,Manual
16535,Maruti Swift VXI,Maruti,565000,2017,37000,First Owner,Petrol,Manual
16536,Renault KWID RXT,Renault,370000,2016,14000,First Owner,Petrol,Manual
16537,Toyota Etios GD,Toyota,499000,2014,120000,First Owner,Diesel,Manual
16539,Hyundai i10 Magna,Hyundai,276000,2014,60000,First Owner,Petrol,Manual
16540,Maruti Ritz LDi,Maruti,450000,2016,86000,First Owner,Diesel,Manual
16542,Mitsubishi Pajero Sport,Mitsubishi,1150000,2014,90000,First Owner,Diesel,Manual
16543,Maruti Baleno Alpha,Maruti,725000,2017,26000,First Owner,Petrol,Manual
16544,Toyota Fortuner 2016-2021,Toyota,3080000,2017,46975,First Owner,Diesel,Automatic
16545,Maruti Wagon R,Maruti,290000,2013,69000,First Owner,CNG,Manual
16546,Toyota Innova 2.5,Toyota,955000,2013,120000,First Owner,Diesel,Manual
16547,Honda Brio S,Honda,350000,2015,50150,First Owner,Petrol,Manual
16548,Datsun RediGO AMT,Datsun,270000,2019,20000,First Owner,Petrol,Automatic
16549,Hyundai Grand i10,Hyundai,450000,2015,10000,First Owner,Petrol,Manual
16550,Volkswagen Polo GT,Volkswagen,865000,2018,18000,First Owner,Petrol,Automatic
16551,Chevrolet Beat PS,Chevrolet,235000,2013,40000,First Owner,Petrol,Manual
16552,Ford Ecosport 2015-2021,Ford,1245000,2019,14000,First Owner,Diesel,Manual
16553,Maruti Alto LXi,Maruti,150000,2011,7000,First Owner,Petrol,Manual
16554,Hyundai Grand i10,Hyundai,480000,2018,25000,First Owner,Petrol,Automatic
16556,Hyundai Verna 1.4,Hyundai,570000,2015,60000,First Owner,Petrol,Manual
16557,Volkswagen Polo 1.5,Volkswagen,810000,2019,23368,First Owner,Diesel,Manual
16558,Toyota Innova Crysta,Toyota,1650000,2016,46000,First Owner,Diesel,Manual
16559,Hyundai Verna 1.6,Hyundai,635000,2015,30000,First Owner,Petrol,Manual
16560,Hyundai i20 1.2,Hyundai,795000,2018,39000,First Owner,Petrol,Manual
16561,Honda City i,Honda,660000,2016,50000,First Owner,Diesel,Manual
16562,Honda City V,Honda,450000,2012,64498,First Owner,Petrol,Automatic
16563,Chevrolet Spark 1.0,Chevrolet,75000,2009,50000,First Owner,Petrol,Manual
16564,Maruti Baleno Delta,Maruti,575000,2017,52000,First Owner,Diesel,Manual
16565,Maruti Wagon R,Maruti,260000,2014,50000,First Owner,Petrol,Manual
16566,Ford Figo Petrol,Ford,250000,2010,80000,First Owner,Petrol,Manual
16567,Volkswagen Polo 2015-2019,Volkswagen,615000,2015,32000,First Owner,Petrol,Manual
16568,Hyundai Grand i10,Hyundai,540000,2017,19744,First Owner,Diesel,Manual
16569,Maruti Eeco 5,Maruti,390000,2017,19955,First Owner,Petrol,Manual
16570,Tata Manza Club,Tata,300000,2012,60000,First Owner,Diesel,Manual
16571,Maruti Swift VXI,Maruti,610000,2020,5000,First Owner,Petrol,Manual
16572,Honda WR-V i-DTEC,Honda,1005000,2017,34052,First Owner,Diesel,Manual
16573,Toyota Innova Crysta,Toyota,1964999,2017,52000,First Owner,Diesel,Automatic
16574,Ford Figo Diesel,Ford,250000,2011,110000,First Owner,Diesel,Manual
16575,Hyundai Verna 1.4,Hyundai,600000,2014,43000,First Owner,Petrol,Manual
16576,Audi A6 2.0,Audi,1751000,2014,44000,First Owner,Diesel,Automatic
16577,Volkswagen Ameo 1.2,Volkswagen,515000,2016,1900,First Owner,Petrol,Manual
16578,Volkswagen Polo 2015-2019,Volkswagen,665000,2016,29000,First Owner,Petrol,Automatic
16579,Maruti Baleno Delta,Maruti,639000,2016,34114,First Owner,Petrol,Manual
16580,Hyundai Grand i10,Hyundai,515000,2014,34400,First Owner,Petrol,Automatic
16581,Maruti S-Cross 2017-2020,Maruti,1050000,2018,40000,First Owner,Diesel,Manual
16582,Maruti Wagon R,Maruti,455000,2016,45800,First Owner,Petrol,Automatic
16583,Maruti Vitara Brezza,Maruti,875000,2019,26000,First Owner,Diesel,Manual
16584,Maruti Ertiga BSIV,Maruti,899000,2018,12998,First Owner,Petrol,Manual
16585,Maruti Swift Dzire,Maruti,240000,2011,70000,First Owner,Petrol,Manual
16586,Hyundai i10 Sportz,Hyundai,330000,2011,45854,First Owner,Petrol,Automatic
16587,Mercedes-Benz E-Class E250,Mercedes-Benz,1235000,2011,56000,First Owner,Diesel,Automatic
16588,Maruti Swift Dzire,Maruti,420000,2011,86000,First Owner,Diesel,Manual
16589,Maruti Ciaz ZDi,Maruti,675000,2017,55000,First Owner,Diesel,Manual
16590,Maruti SX4 S,Maruti,925000,2017,7000,First Owner,Diesel,Manual
16591,Mahindra Quanto C4,Mahindra,380000,2013,46500,First Owner,Diesel,Manual
16592,Honda City i,Honda,765000,2016,19117,First Owner,Petrol,Manual
16593,Maruti Ertiga SHVS,Maruti,810000,2016,37000,First Owner,Diesel,Manual
16594,Hyundai Creta 1.4,Hyundai,890000,2017,35000,First Owner,Diesel,Manual
16595,Maruti Swift VDI,Maruti,640000,2016,47350,First Owner,Diesel,Manual
16596,Maruti Vitara Brezza,Maruti,950000,2017,44000,First Owner,Diesel,Manual
16597,Hyundai Santro Magna,Hyundai,450000,2019,10000,First Owner,Petrol,Manual
16598,Maruti Swift VDI,Maruti,500000,2015,70000,First Owner,Diesel,Manual
16599,Hyundai i20 1.2,Hyundai,875000,2018,5436,First Owner,Petrol,Manual
16601,BMW 5 Series,BMW,1750000,2011,71000,First Owner,Diesel,Automatic
16602,Chevrolet Beat Diesel,Chevrolet,180000,2012,120000,First Owner,Diesel,Manual
16603,Maruti Alto 800,Maruti,290000,2016,25000,First Owner,Petrol,Manual
16605,Honda City i,Honda,550000,2014,100000,First Owner,Diesel,Manual
16607,Maruti Dzire VXI,Maruti,675000,2017,30500,First Owner,Petrol,Automatic
16609,Maruti Alto 800,Maruti,295000,2015,15000,First Owner,Petrol,Manual
16610,Honda Amaze S,Honda,455000,2015,63000,First Owner,Diesel,Manual
16611,BMW X1 sDrive20d,BMW,2050000,2016,55000,First Owner,Diesel,Automatic
16612,Mahindra Verito 1.5,Mahindra,261000,2013,110000,First Owner,Diesel,Manual
16613,Chevrolet Aveo U-VA,Chevrolet,195000,2008,92000,First Owner,Petrol,Manual
16614,BMW 5 Series,BMW,5150000,2018,23000,First Owner,Diesel,Automatic
16615,Toyota Etios Liva,Toyota,400000,2015,65000,First Owner,Diesel,Manual
16616,Datsun RediGO S,Datsun,280000,2017,40000,First Owner,Petrol,Manual
16617,Ford Figo 1.2P,Ford,550000,2016,30000,First Owner,Petrol,Manual
16618,Maruti Ciaz ZDi,Maruti,750000,2016,35000,First Owner,Diesel,Manual
16619,Hyundai Santro Sportz,Hyundai,650000,2019,6932,First Owner,Petrol,Automatic
16620,Honda Jazz S,Honda,225000,2009,53000,First Owner,Petrol,Manual
16621,Honda Mobilio E,Honda,500000,2015,60000,First Owner,Petrol,Manual
16622,Maruti Omni MPI,Maruti,210000,2017,90000,First Owner,Petrol,Manual
16623,Maruti Alto K10,Maruti,210000,2013,50000,First Owner,Petrol,Manual
16624,Maruti Baleno Zeta,Maruti,611000,2016,38953,First Owner,Petrol,Manual
16625,Maruti Ritz VXi,Maruti,325000,2013,86400,First Owner,Petrol,Manual
16626,Honda Amaze VX,Honda,825000,2018,17362,First Owner,Petrol,Manual
16627,Hyundai Verna 1.6,Hyundai,585000,2015,56000,First Owner,Diesel,Manual
16628,Volkswagen Vento Diesel,Volkswagen,451000,2012,98078,First Owner,Diesel,Manual
16629,Volkswagen Polo 1.2,Volkswagen,615000,2015,7000,First Owner,Petrol,Manual
16630,Hyundai i10 Magna,Hyundai,286000,2011,68000,First Owner,Petrol,Manual
16631,Toyota Etios G,Toyota,335000,2013,46300,First Owner,Petrol,Manual
16632,Maruti Swift VDI,Maruti,420000,2013,130000,First Owner,Diesel,Manual
16633,Ford Figo Petrol,Ford,285000,2014,105000,First Owner,Petrol,Manual
16634,Renault KWID RXT,Renault,349000,2017,8905,First Owner,Petrol,Manual
16635,Mitsubishi Pajero 2.8,Mitsubishi,550000,2010,110000,First Owner,Diesel,Manual
16636,Ford Figo 1.5D,Ford,520000,2017,80000,First Owner,Diesel,Manual
16637,Toyota Corolla Altis,Toyota,579000,2012,124325,First Owner,Diesel,Manual
16638,Toyota Innova 2.5,Toyota,430000,2009,180000,First Owner,Diesel,Manual
16639,Ford Fiesta 1.5,Ford,281000,2012,62000,First Owner,Diesel,Manual
16640,Volkswagen Vento Petrol,Volkswagen,385000,2013,40000,First Owner,Petrol,Manual
16642,Honda City i,Honda,375000,2010,54000,First Owner,Petrol,Manual
16644,Hyundai Xcent 1.1,Hyundai,409999,2017,120000,First Owner,Diesel,Manual
16647,Maruti Swift VXI,Maruti,380000,2014,98145,First Owner,Petrol,Manual
16648,Maruti Ertiga VDI,Maruti,600000,2012,50000,First Owner,Diesel,Manual
16649,Jeep Compass 1.4,Jeep,1495000,2019,14000,First Owner,Petrol,Manual
16650,Hyundai i20 1.4,Hyundai,620000,2018,40000,First Owner,Diesel,Manual
16651,Ford Fiesta 1.4,Ford,215000,2007,74000,First Owner,Diesel,Manual
16652,Maruti Wagon R,Maruti,370000,2014,71000,First Owner,CNG,Manual
16654,Datsun RediGO T,Datsun,250000,2017,15000,First Owner,Petrol,Manual
16656,Maruti Swift ZDi,Maruti,484999,2012,80000,First Owner,Diesel,Manual
16657,Maruti Ertiga BSIV,Maruti,950000,2018,13158,First Owner,Petrol,Manual
16659,Maruti Swift VDI,Maruti,445000,2013,54000,First Owner,Diesel,Manual
16661,Maruti Swift ZDi,Maruti,450000,2013,225000,First Owner,Diesel,Manual
16663,Maruti Swift VDI,Maruti,550000,2014,70000,First Owner,Diesel,Manual
16664,Honda City i-VTEC,Honda,1100000,2017,27000,First Owner,Petrol,Automatic
16665,Hyundai Santro Xing,Hyundai,90000,2009,120000,First Owner,Petrol,Manual
16669,Toyota Etios Liva,Toyota,375000,2012,58002,First Owner,Petrol,Manual
16670,Isuzu D-Max V-Cross,Isuzu,1050000,2016,80000,First Owner,Diesel,Manual
16671,Maruti Wagon R,Maruti,315000,2017,50000,First Owner,Petrol,Manual
16672,BMW 5 Series,BMW,3100000,2014,75000,First Owner,Diesel,Automatic
16673,Hyundai i20 2015-2017,Hyundai,695000,2017,37015,First Owner,Petrol,Manual
16674,Hyundai Santro Xing,Hyundai,265000,2009,70000,First Owner,Petrol,Manual
16675,Maruti Alto 800,Maruti,280000,2018,20000,First Owner,Petrol,Manual
16676,Skoda Rapid 1.6,Skoda,521000,2014,20353,First Owner,Diesel,Manual
16677,Renault KWID AMT,Renault,434999,2017,35000,First Owner,Petrol,Automatic
16678,Ford Ecosport 2015-2021,Ford,944999,2019,11000,First Owner,Diesel,Manual
16679,Maruti Ignis 1.2,Maruti,492000,2018,25000,First Owner,Petrol,Manual
16680,Maruti Ritz VXi,Maruti,265000,2012,23000,First Owner,Petrol,Manual
16683,Tata Nano XT,Tata,219000,2017,20700,First Owner,Petrol,Manual
16684,Maruti Ritz VDi,Maruti,295000,2013,63000,First Owner,Diesel,Manual
16685,Maruti Vitara Brezza,Maruti,695000,2017,52000,First Owner,Diesel,Manual
16686,BMW 5 Series,BMW,2675000,2016,42000,First Owner,Diesel,Automatic
16687,Toyota Etios Liva,Toyota,425000,2013,90250,First Owner,Diesel,Manual
16688,Honda City i,Honda,800000,2015,23000,First Owner,Petrol,Automatic
16689,Hyundai Creta 1.6,Hyundai,950000,2015,97247,First Owner,Diesel,Manual
16690,Skoda Superb Elegance,Skoda,449000,2010,54000,First Owner,Petrol,Automatic
16691,Mahindra Xylo E8,Mahindra,415000,2012,47085,First Owner,Diesel,Manual
16692,Mercedes-Benz C-Class C,Mercedes-Benz,2800000,2016,29052,First Owner,Petrol,Automatic
16693,Maruti Baleno Sigma,Maruti,515000,2018,38000,First Owner,Petrol,Manual
16694,Jaguar XF 2.2,Jaguar,2350000,2015,34000,First Owner,Diesel,Automatic
16695,Ford Fiesta 1.6,Ford,195000,2010,70000,First Owner,Petrol,Manual
16696,Volkswagen Polo 1.2,Volkswagen,499000,2015,20000,First Owner,Petrol,Manual
16697,Honda Amaze S,Honda,490000,2015,39600,First Owner,Diesel,Manual
16698,Audi A6 35,Audi,3125000,2016,35000,First Owner,Diesel,Automatic
16699,Volkswagen Polo Petrol,Volkswagen,650000,2016,59000,First Owner,Petrol,Manual
16700,Hyundai i10 Magna,Hyundai,350000,2016,35000,First Owner,Petrol,Manual
16702,Chevrolet Beat Diesel,Chevrolet,170000,2012,189000,First Owner,Diesel,Manual
16703,Mahindra Scorpio S4,Mahindra,875000,2015,35000,First Owner,Diesel,Manual
16704,Renault Duster 85PS,Renault,600000,2016,70000,First Owner,Diesel,Manual
16705,Mercedes-Benz C-Class C,Mercedes-Benz,425000,2006,45000,First Owner,Diesel,Automatic
16706,Nissan Sunny XL,Nissan,425000,2015,58000,First Owner,Petrol,Automatic
16707,Toyota Corolla Altis,Toyota,900000,2015,50000,First Owner,Petrol,Manual
16708,Maruti Omni E,Maruti,229999,2010,50000,First Owner,Petrol,Manual
16709,Maruti Ertiga ZXI,Maruti,550000,2013,15000,First Owner,Petrol,Manual
16710,Honda BRV i-VTEC,Honda,1050000,2016,10501,First Owner,Petrol,Manual
16711,Fiat Punto 1.3,Fiat,100000,2010,120000,First Owner,Diesel,Manual
16712,Mahindra KUV 100,Mahindra,500000,2016,25000,First Owner,Petrol,Manual
16713,Renault Duster 110PS,Renault,470000,2015,100000,First Owner,Diesel,Manual
16714,Mahindra XUV500 W6,Mahindra,950000,2015,40000,First Owner,Diesel,Manual
16715,Volkswagen Vento Petrol,Volkswagen,490000,2012,79324,First Owner,Petrol,Manual
16716,Maruti Vitara Brezza,Maruti,750000,2019,20000,First Owner,Diesel,Manual
16717,Honda Jazz 1.5,Honda,545000,2016,90000,First Owner,Diesel,Manual
16718,Tata Indigo CR4,Tata,250000,2012,90000,First Owner,Diesel,Manual
16719,Mercedes-Benz GLE Class,Mercedes-Benz,4300000,2016,50000,First Owner,Diesel,Automatic
16720,Maruti Wagon R,Maruti,160000,2009,55000,First Owner,Petrol,Manual
16721,Renault Duster 85PS,Renault,415000,2013,110000,First Owner,Diesel,Manual
16722,Toyota Innova 2.5,Toyota,894999,2014,69000,First Owner,Diesel,Manual
16723,Hyundai i20 Asta,Hyundai,660000,2015,24000,First Owner,Diesel,Manual
16724,Maruti Alto 800,Maruti,340000,2017,61000,First Owner,CNG,Manual
16725,Maruti Alto K10,Maruti,355000,2014,64531,First Owner,Petrol,Manual
16727,Maruti Wagon R,Maruti,425000,2015,57000,First Owner,Petrol,Manual
16729,Maruti Swift VDI,Maruti,325000,2010,75000,First Owner,Diesel,Manual
16730,Volkswagen Polo 1.2,Volkswagen,675000,2017,55000,First Owner,Petrol,Manual
16732,Renault KWID AMT,Renault,405000,2017,35000,First Owner,Petrol,Automatic
16733,Mahindra XUV500 W10,Mahindra,944999,2015,120000,First Owner,Diesel,Manual
16734,Maruti Alto 800,Maruti,250000,2016,50000,First Owner,Petrol,Manual
16735,Mahindra Thar CRDe,Mahindra,700000,2017,25000,First Owner,Diesel,Manual
16736,Volkswagen Polo 2015-2019,Volkswagen,550000,2019,20000,First Owner,Petrol,Manual
16737,Hyundai Getz 1.1,Hyundai,175000,2007,68000,First Owner,Petrol,Manual
16738,Hyundai i20 Asta,Hyundai,280000,2009,50000,First Owner,Petrol,Manual
16739,Maruti Swift LXI,Maruti,265000,2010,91000,First Owner,Petrol,Manual
16740,Skoda Rapid 1.6,Skoda,610000,2014,52135,First Owner,Diesel,Manual
16741,Maruti S-Cross 2017-2020,Maruti,850000,2018,40000,First Owner,Diesel,Manual
16742,Honda Amaze EX,Honda,450000,2015,48000,First Owner,Diesel,Manual
16743,Ford Figo Diesel,Ford,415000,2013,87000,First Owner,Diesel,Manual
16744,Tata Safari 2005-2017,Tata,349000,2012,77450,First Owner,Diesel,Manual
16745,Ford Ecosport 1.5,Ford,459999,2013,88000,First Owner,Diesel,Manual
16746,Honda Jazz 1.2,Honda,600000,2016,46774,First Owner,Petrol,Manual
